epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.856,1.23365,1.95827,1.22564,0.53145,0.53754,0.51355,0.34443,1.15486,1.34785,1.17167,0.000207605,0.000207605,0.000207605
2,225.475,1.23626,1.46274,1.23335,0.48856,0.5366,0.52819,0.33865,1.18328,1.33049,1.19851,0.00041182,0.00041182,0.00041182
3,319.829,1.24326,1.43403,1.24459,0.58357,0.53967,0.53157,0.35505,1.18171,1.32129,1.18917,0.000611911,0.000611911,0.000611911
4,419.019,1.24134,1.39186,1.23762,0.50585,0.53926,0.51968,0.34178,1.20166,1.30287,1.21112,0.000606437,0.000606437,0.000606437
5,515.008,1.23561,1.37078,1.24703,0.52317,0.54713,0.54489,0.36751,1.15524,1.20742,1.17878,0.00060025,0.00060025,0.00060025
6,613.867,1.22189,1.31401,1.23117,0.54642,0.61865,0.57738,0.3848,1.15591,1.22268,1.17416,0.000594062,0.000594062,0.000594062
7,712.205,1.20285,1.26257,1.21377,0.7103,0.51316,0.58413,0.39395,1.13396,1.139,1.16742,0.000587875,0.000587875,0.000587875
8,810.154,1.182,1.23182,1.2115,0.57563,0.57089,0.58122,0.40011,1.12117,1.13394,1.16348,0.000581687,0.000581687,0.000581687
9,908.184,1.1767,1.21515,1.20506,0.62585,0.59967,0.6315,0.42067,1.13846,1.08359,1.15703,0.0005755,0.0005755,0.0005755
10,1006.41,1.1742,1.1866,1.20544,0.5291,0.62171,0.61098,0.41711,1.12909,1.10275,1.16769,0.000569313,0.000569313,0.000569313
11,1103.79,1.15468,1.16268,1.19209,0.53901,0.66208,0.61878,0.42785,1.11248,1.06926,1.1534,0.000563125,0.000563125,0.000563125
12,1201.24,1.14553,1.15969,1.18875,0.67028,0.59114,0.6396,0.44009,1.10395,1.07326,1.14801,0.000556938,0.000556938,0.000556938
13,1298.96,1.13047,1.11995,1.17574,0.66639,0.6185,0.67047,0.46182,1.11182,1.07946,1.15928,0.00055075,0.00055075,0.00055075
14,1396.66,1.12859,1.12147,1.17808,0.63198,0.58549,0.64169,0.44642,1.09793,1.10731,1.15756,0.000544563,0.000544563,0.000544563
15,1494.25,1.1205,1.08627,1.17031,0.60865,0.63994,0.63916,0.44247,1.08723,1.03557,1.13521,0.000538375,0.000538375,0.000538375
16,1597.67,1.11016,1.07525,1.16382,0.66088,0.62076,0.67675,0.46493,1.09579,1.03637,1.15199,0.000532187,0.000532187,0.000532187
17,1703.91,1.10489,1.06361,1.16063,0.72567,0.6011,0.67899,0.4728,1.09322,1.02099,1.1471,0.000526,0.000526,0.000526
18,1805.08,1.10506,1.03391,1.15902,0.66718,0.62662,0.68102,0.47362,1.09666,1.03264,1.14209,0.000519812,0.000519812,0.000519812
19,1908.76,1.08597,1.02788,1.15169,0.67258,0.63534,0.68533,0.47627,1.08316,1.00988,1.13247,0.000513625,0.000513625,0.000513625
20,1996.06,1.08651,0.99979,1.14096,0.64133,0.61666,0.67379,0.47825,1.08312,1.01034,1.13299,0.000507438,0.000507438,0.000507438
21,2079.89,1.07265,0.99163,1.13751,0.66446,0.62215,0.66833,0.46099,1.07479,1.005,1.12615,0.00050125,0.00050125,0.00050125
22,2163.08,1.07547,0.98512,1.1412,0.67249,0.62254,0.65216,0.45627,1.09562,1.02875,1.13878,0.000495063,0.000495063,0.000495063
23,2246.56,1.06494,0.97036,1.13826,0.70451,0.66238,0.71095,0.49372,1.07534,0.99635,1.13199,0.000488875,0.000488875,0.000488875
24,2347.36,1.05164,0.9549,1.12777,0.68244,0.63203,0.69312,0.4865,1.0967,0.99096,1.14517,0.000482687,0.000482687,0.000482687
25,2437.07,1.05566,0.95756,1.1325,0.65029,0.67676,0.69268,0.49403,1.08401,0.97528,1.13664,0.0004765,0.0004765,0.0004765
26,2522.18,1.05545,0.94689,1.12857,0.68054,0.64077,0.67772,0.46862,1.07821,0.94258,1.14153,0.000470312,0.000470312,0.000470312
27,2605.53,1.04416,0.91846,1.12129,0.74222,0.63408,0.7064,0.49128,1.08375,0.98526,1.14129,0.000464125,0.000464125,0.000464125
28,2691.23,1.03322,0.91237,1.1178,0.72354,0.65026,0.7088,0.48918,1.08271,0.97032,1.13244,0.000457938,0.000457938,0.000457938
29,2778.73,1.03695,0.90868,1.11514,0.71514,0.62453,0.68977,0.48682,1.08096,0.9638,1.13237,0.00045175,0.00045175,0.00045175
30,2863.06,1.03523,0.89592,1.11178,0.73038,0.6509,0.70352,0.50096,1.0685,0.95584,1.1267,0.000445562,0.000445562,0.000445562
31,2947.74,1.02866,0.88609,1.1069,0.74226,0.64661,0.71792,0.49425,1.07323,0.95348,1.13774,0.000439375,0.000439375,0.000439375
32,3031.63,1.01582,0.87128,1.10605,0.69795,0.65709,0.69473,0.48815,1.08277,0.95251,1.13633,0.000433187,0.000433187,0.000433187
33,3122.69,1.00854,0.85678,1.10368,0.69984,0.69219,0.72649,0.50826,1.07562,0.96362,1.12839,0.000427,0.000427,0.000427
34,3223.08,1.00969,0.8543,1.09812,0.75777,0.63948,0.71965,0.50568,1.06895,0.94807,1.12906,0.000420812,0.000420812,0.000420812
